No,Category,Type,Question,Revised,Disclaimer,Combined_Content
11,Camera,Portrait mode,What are the advanced features of <Portrait Selfie>? ,"With the new 12 MP Dual Pixel AF front camera and AI Stereo Depth feature, the S23 Series captures delicate night selfie portraits.

The Dual Pixel AF lets the S23 Series focus on subjects more quickly and precisely, even at night.
And the AI Stereo Depth provides stunning bokeh with delicate, clear segmentation for more impressive selfie portraits.",,"Revised : 
With the new 12 MP Dual Pixel AF front camera and AI Stereo Depth feature, the S23 Series captures delicate night selfie portraits.

The Dual Pixel AF lets the S23 Series focus on subjects more quickly and precisely, even at night.
And the AI Stereo Depth provides stunning bokeh with delicate, clear segmentation for more impressive selfie portraits."
12,Camera,Director's view,What is <Director's View>?,"Director's View is a new way to record videos using the three rear cameras (Ultra Wide/Wide/Tele 3x) within the same video. 

While recording you can see a preview of each camera. Simply tap on the preview to change the camera angle, giving you a professional touch. And now with the S23 Series, Adaptive VDIS supported Director's view for even more stable video recording.",,"Revised : 
Director's View is a new way to record videos using the three rear cameras (Ultra Wide/Wide/Tele 3x) within the same video. 

While recording you can see a preview of each camera. Simply tap on the preview to change the camera angle, giving you a professional touch. And now with the S23 Series, Adaptive VDIS supported Director's view for even more stable video recording."
13,Camera,Video,What are the enhancements for Video quality ?What is the  'Super Steady System' ?,"The S23 Series has the fastest 4nm processor ever in a Galaxy, and it's responsible for its ultimate video performance with Super Steady System. Its Adaptive VDIS powered by its 4nm processor lets you take more stable dynamic action videos with less blur in scenarios with various movements/brightness. And for the S23 Ultra, 2x wider ±3° OIS* give an additional stabilization.","* Compared with the S22 Series. 
* S23 Ultra only.","Revised : 
The S23 Series has the fastest 4nm processor ever in a Galaxy, and it's responsible for its ultimate video performance with Super Steady System. Its Adaptive VDIS powered by its 4nm processor lets you take more stable dynamic action videos with less blur in scenarios with various movements/brightness. And for the S23 Ultra, 2x wider ±3° OIS* give an additional stabilization. 

Disclaimer : 
* Compared with the S22 Series. 
* S23 Ultra only."
14,Camera,Laser AF,Why isn’t there Depth Camera?,"With the S23 Series’ powerful AI technology based on its 4nm processor, you can enjoy a variety of great camera features.

Compared to a ToF (time of flight) sensor, the S23 Ultra comes equipped with a Laser AF that performs higher with auto focusing every shot, including close-up macro shots.",,"Revised : 
With the S23 Series’ powerful AI technology based on its 4nm processor, you can enjoy a variety of great camera features.

Compared to a ToF (time of flight) sensor, the S23 Ultra comes equipped with a Laser AF that performs higher with auto focusing every shot, including close-up macro shots."
15,Camera,Auto Framing,Is there any difference with auto framing compared to the Foldable models?,"Like the S22 Series, the S23 Series recognizes up to 10 people at a recognizable distance of 5 meters.
It also supports single person tracking framing by touching and selecting a human on the screen and it automatically frames the subject.",,"Revised : 
Like the S22 Series, the S23 Series recognizes up to 10 people at a recognizable distance of 5 meters.
It also supports single person tracking framing by touching and selecting a human on the screen and it automatically frames the subject."
16,Camera,Pro / Pro Video,What improvements have been made in the Pro/Pro Video Mode?,"That is a great question <Customer's Name>!

Now, the S23 Series in Pro/Pro Video mode supports the front camera for using in more various shooting situations. (S22 Series: Only rear lenses supported)*

Also, 50 MP shooting is newly supported in Pro mode to get higher-resolution photos.**
So, you can enjoy a more DSLR-like shooting experience by adjusting the shutter speed, ISO, WB, and more while recording with more various lens angles.","* For the S22 Series, only rear lenses supported.
** For the S22 Series' wide camera, only 12MP shooting supported.","Revised : 
That is a great question <Customer's Name>!

Now, the S23 Series in Pro/Pro Video mode supports the front camera for using in more various shooting situations. (S22 Series: Only rear lenses supported)*

Also, 50 MP shooting is newly supported in Pro mode to get higher-resolution photos.**
So, you can enjoy a more DSLR-like shooting experience by adjusting the shutter speed, ISO, WB, and more while recording with more various lens angles. 

Disclaimer : 
* For the S22 Series, only rear lenses supported.
** For the S22 Series' wide camera, only 12MP shooting supported."
17,Camera,Google Duo,Any differentiation for Google duo service for galaxy users?,"Google DUO is now merged with Google Meet, and through our strong partnership with Google, we now have Google Meet’s exclusive features on the Galaxy.

It supports 720p high-resolution group video calls, and for the first time, when on a Google Meet group call, you could co-edit Samsung Notes with call participants in real time!",,"Revised : 
Google DUO is now merged with Google Meet, and through our strong partnership with Google, we now have Google Meet’s exclusive features on the Galaxy.

It supports 720p high-resolution group video calls, and for the first time, when on a Google Meet group call, you could co-edit Samsung Notes with call participants in real time!"
18,Performance,AP / Memory / storage,"How is the AP, Memory and storage of <Galaxy S23 Series>?","Each Galaxy S23 Series models is powered by a new 4nm processor. This is the fastest ever in a Galaxy Series. 

The S23 Series ships with the latest Qualcomm® Snapdragon 8 Gen 2 for Galaxy. 
The Snapdragon processors go through the same strict and rigorous, real-life testing scenarios in order to deliver a consistent, optimal performance over the entire lifespan of the device.

Also, the S23 Series comes with large Memory size (8/12 GB) engineered with LPDDR5 for more swift multitasking and tasks.  
•	 S23 Ultra: Memory (8/12 GB), Storage (256/512 GB, 1 TB)
•	 S23+: Memory (8 GB), Storage (256/512 GB)
• S23: Memory (8 GB), Storage (128/256/512 GB)","* Compared to prior generation chipset. Actual performance may vary depending on testing conditions.
※ Memory and storage options may vary by countries. 
※ Actual internal storage available may vary depending on pre-installed software. ","Revised : 
Each Galaxy S23 Series models is powered by a new 4nm processor. This is the fastest ever in a Galaxy Series. 

The S23 Series ships with the latest Qualcomm® Snapdragon 8 Gen 2 for Galaxy. 
The Snapdragon processors go through the same strict and rigorous, real-life testing scenarios in order to deliver a consistent, optimal performance over the entire lifespan of the device.

Also, the S23 Series comes with large Memory size (8/12 GB) engineered with LPDDR5 for more swift multitasking and tasks.  
•	 S23 Ultra: Memory (8/12 GB), Storage (256/512 GB, 1 TB)
•	 S23+: Memory (8 GB), Storage (256/512 GB)
• S23: Memory (8 GB), Storage (128/256/512 GB) 

Disclaimer : 
* Compared to prior generation chipset. Actual performance may vary depending on testing conditions.
※ Memory and storage options may vary by countries. 
※ Actual internal storage available may vary depending on pre-installed software. "
19,Performance,Wi-Fi,How much faster is the <Wi-Fi 6E> than Wi-Fi6?,"Thank you for asking <Customer Name>.

'Wi-Fi 6E' supports a maximum speed of 2.4Gbps, making it 2x faster than the previous Wi-Fi 6’s 1.2Gbps. ",※ Wi-Fi 6E: Only supports S23 Ultra/S23+ (S23 is Wi-Fi6),"Revised : 
Thank you for asking <Customer Name>.

'Wi-Fi 6E' supports a maximum speed of 2.4Gbps, making it 2x faster than the previous Wi-Fi 6’s 1.2Gbps.  

Disclaimer : 
※ Wi-Fi 6E: Only supports S23 Ultra/S23+ (S23 is Wi-Fi6)"
20,Performance,UWB,What is UWB(Ultra-wideband) technology and how can I use it ?  ,"UWB stands for Ultra-Wide Band, which is a next generation wireless communication technology with high accuracy and enhanced security

For example: If you want to share a file with someone you can simply point your smartphone at another person's device, then the user can instantly share files. *

In their near future, UWB technology could potentially be used as a digital key to unlock your car or front door rather than carrying multiple keys. 

※ S23+ and S23 Ultra support UWB technology ONLY.",* Both sending and receiving devices must support UWB.,"Revised : 
UWB stands for Ultra-Wide Band, which is a next generation wireless communication technology with high accuracy and enhanced security

For example: If you want to share a file with someone you can simply point your smartphone at another person's device, then the user can instantly share files. *

In their near future, UWB technology could potentially be used as a digital key to unlock your car or front door rather than carrying multiple keys. 

※ S23+ and S23 Ultra support UWB technology ONLY. 

Disclaimer : 
* Both sending and receiving devices must support UWB."
21,Performance,Micro SD,Does the Galaxy S23 Series support microSD cards for storage expansion? Why did Samsung remove the SD card slot from S23 Series?,"Thank you for asking, <Customer Name>. '

The Galaxy S23 Series does not support a microSD card, but it does offer several storage options so you don't have to worry about running out of storage. 

[Storage]
- S23 Ultra: 256/512 GB/1 TB  
- S23+: 256/512 GB   
- S23: 128/256/512 GB

The S23+/S23 Ultra offers 2x more storage for basic models compared to the S22+/S22 Ultra. (S22+/S22 Ultra: 128 GB → S23+/S23 Ultra: 256GB)*
So, you can choose the best storage option for you so that you have enough storage for years of old photos, videos, messages, and other files from your previous phone and for the future. ",* S23 starts at 128 GB storage for the basic model.,"Revised : 
Thank you for asking, <Customer Name>. '

The Galaxy S23 Series does not support a microSD card, but it does offer several storage options so you don't have to worry about running out of storage. 

[Storage]
- S23 Ultra: 256/512 GB/1 TB  
- S23+: 256/512 GB   
- S23: 128/256/512 GB

The S23+/S23 Ultra offers 2x more storage for basic models compared to the S22+/S22 Ultra. (S22+/S22 Ultra: 128 GB → S23+/S23 Ultra: 256GB)*
So, you can choose the best storage option for you so that you have enough storage for years of old photos, videos, messages, and other files from your previous phone and for the future.  

Disclaimer : 
* S23 starts at 128 GB storage for the basic model."
22,Performance,Game,How's the gaming performance?,"That's a wonderful question, <Customer Name>!

The Galaxy S23 Series is definitely the Ultimate Gaming Machine. 

With the fastest 4nm AP in Galaxy ever, the S23 Series provides powerful gaming performance. And with AI-based power management, the gameplay is not only smooth, but also stable as well. Moreover, by increasing the size of the vapor chamber, the cooling performance is enhanced so that you would feel less heat. Thus, from casual to heavy games, you can experience faster and smoother gaming, and can even play longer. 

Keep in mind that the S23 Series comes with even more intelligent Vision Booster*. Whether you  are playing the game inside or outside , S23 's vision booster adapts to the ambient light to provide brighter  screen during your gameplay.",*Not activated when Eye comfort shield is active.,"Revised : 
That's a wonderful question, <Customer Name>!

The Galaxy S23 Series is definitely the Ultimate Gaming Machine. 

With the fastest 4nm AP in Galaxy ever, the S23 Series provides powerful gaming performance. And with AI-based power management, the gameplay is not only smooth, but also stable as well. Moreover, by increasing the size of the vapor chamber, the cooling performance is enhanced so that you would feel less heat. Thus, from casual to heavy games, you can experience faster and smoother gaming, and can even play longer. 

Keep in mind that the S23 Series comes with even more intelligent Vision Booster*. Whether you  are playing the game inside or outside , S23 's vision booster adapts to the ambient light to provide brighter  screen during your gameplay. 

Disclaimer : 
*Not activated when Eye comfort shield is active."
23,Performance,Fingerprint,How is the Fingerprint scanner better from the previous model (S22 Series)? ,"We are glad to answer your question, <Customer Name>!
The Galaxy S23 Series is equipped with the same ultrasonic fingerprint scanner as the S22 Series.",,"Revised : 
We are glad to answer your question, <Customer Name>!
The Galaxy S23 Series is equipped with the same ultrasonic fingerprint scanner as the S22 Series."
24,Performance,Sound,Are Stereo speakers and Dolby ATMOS supported?,"That's a wonderful question, <Customer Name>! 

You can experience clear, rich, 3D sound enhanced by Dolby Atmos through the device speakers and Type-C earphones.",,"Revised : 
That's a wonderful question, <Customer Name>! 

You can experience clear, rich, 3D sound enhanced by Dolby Atmos through the device speakers and Type-C earphones."
25,Performance,Water and Dust Resistance / IP68,What are the specifications of water and dust resistance?,"Thank you for asking, <Customer Name> !

The Galaxy S23 Series features an IP68 rating, the Galaxy standard for water and dust resistance",※IP68 is based on test conditions for submersion in up to 1.5 meters of freshwater for up to 30 minutes. Not advised for beach or pool use. Water or dust damage not covered by warranty.,"Revised : 
Thank you for asking, <Customer Name> !

The Galaxy S23 Series features an IP68 rating, the Galaxy standard for water and dust resistance 

Disclaimer : 
※IP68 is based on test conditions for submersion in up to 1.5 meters of freshwater for up to 30 minutes. Not advised for beach or pool use. Water or dust damage not covered by warranty."
26,Battery,Capacity,What is the battery capacity of each model?,"Each S23 Series model features a longer-lasting battery.
- -5,000 mAh (S23 Ultra) - -4,700 mAh (S23+) - -3,900 mAh (S23)

The 4nm processor with 3rd party video apps optimization provides low-power consumption to make the S23 Series last longer.  Not to mention, the S23 Series supports Super Fast Charging, Fast Wireless Charging 2.0, and Reverse Wireless Charging.

• (	45W) Super Fast Charging 2.0 (S23 Ultra/S23+)
•	 Super Fast Charging (S23)","※ Usage time tested in an internal laboratory with unused products. Usage time on the official website may vary with other test method, considering the deviation in actual user environment. Actual battery life, charging time, and usage time may vary depending on the network environment, usage patterns, amount of calls and messages, charging frequency, and other factors.
※ Typical value tested under third-party laboratory condition. Rated(minimum) capacity is less.
※ Super Fast Charger required and sold separately. ","Revised : 
Each S23 Series model features a longer-lasting battery.
- -5,000 mAh (S23 Ultra) - -4,700 mAh (S23+) - -3,900 mAh (S23)

The 4nm processor with 3rd party video apps optimization provides low-power consumption to make the S23 Series last longer.  Not to mention, the S23 Series supports Super Fast Charging, Fast Wireless Charging 2.0, and Reverse Wireless Charging.

• (	45W) Super Fast Charging 2.0 (S23 Ultra/S23+)
•	 Super Fast Charging (S23) 

Disclaimer : 
※ Usage time tested in an internal laboratory with unused products. Usage time on the official website may vary with other test method, considering the deviation in actual user environment. Actual battery life, charging time, and usage time may vary depending on the network environment, usage patterns, amount of calls and messages, charging frequency, and other factors.
※ Typical value tested under third-party laboratory condition. Rated(minimum) capacity is less.
※ Super Fast Charger required and sold separately. "
27,Battery,Charging,How fast does the battery charge? ,"The Galaxy S23 Series supports Super-Fast Charging 

•	45W Super-Fast Charging (S23 Ultra/S23+)
•	25W Super-Fast Charging (S23)

You can even charge wirelessly at 15W with Fast Wireless Charging. 
Galaxy S23 Series also supports Reverse Wireless Charging so you can power other galaxy devices",※ Super Fast Charger required and sold separately. ,"Revised : 
The Galaxy S23 Series supports Super-Fast Charging 

•	45W Super-Fast Charging (S23 Ultra/S23+)
•	25W Super-Fast Charging (S23)

You can even charge wirelessly at 15W with Fast Wireless Charging. 
Galaxy S23 Series also supports Reverse Wireless Charging so you can power other galaxy devices 

Disclaimer : 
※ Super Fast Charger required and sold separately. "
28,Battery,Reverse Wireless Charging,Is <Reverse Wireless Charging> supported?,"That's a great question <Customer Name>! 

Yes, all models support Reverse Wireless Charging.
Reverse Wireless Charging is an innovative feature that lets you turn your S23 Series into a wireless charger.

It gives you the power to share your battery and charge your Galaxy Watch or Galaxy Buds or Qi-certified devices. No cables are necessary.","※Limited to Samsung or other brand smartphones with WPC Qi wireless charging, such as Galaxy Note20 Series, S21 Series, Z Fold3, etc. and wearables. If battery power is lower than 30% Reverse Wireless Charging may not function. May not work with certain accessories, cases, or other brand devices. May affect call reception or data services, depending on your network environment. ","Revised : 
That's a great question <Customer Name>! 

Yes, all models support Reverse Wireless Charging.
Reverse Wireless Charging is an innovative feature that lets you turn your S23 Series into a wireless charger.

It gives you the power to share your battery and charge your Galaxy Watch or Galaxy Buds or Qi-certified devices. No cables are necessary. 

Disclaimer : 
※Limited to Samsung or other brand smartphones with WPC Qi wireless charging, such as Galaxy Note20 Series, S21 Series, Z Fold3, etc. and wearables. If battery power is lower than 30% Reverse Wireless Charging may not function. May not work with certain accessories, cases, or other brand devices. May affect call reception or data services, depending on your network environment. "
29,Battery,Charging,Does the S23 Series support 45W charging?," Thank you for asking, <Customer Name>.
    
The S23 Ultra/S23+ supports Super Fast Charging 2.0 (Up to 45W), however the S23 supports Super Fast Charging only. ","* For the S23, 25W Fast Charging supported only.","Revised : 
 Thank you for asking, <Customer Name>.
    
The S23 Ultra/S23+ supports Super Fast Charging 2.0 (Up to 45W), however the S23 supports Super Fast Charging only.  

Disclaimer : 
* For the S23, 25W Fast Charging supported only."
30,Display,Flat / Edge,Does the S23 Series include an Edge or Flat design ?,"That is a great question <Customer Name>! 
The S23 Ultra features a new edge display with a larger flat area and the S23+/S23 feature a flat display.",,"Revised : 
That is a great question <Customer Name>! 
The S23 Ultra features a new edge display with a larger flat area and the S23+/S23 feature a flat display."
31,Display,Size,What is the size and weight of the <Galaxy S23 Series>?,"The new Galaxy S23 Series is available in 3 sizes. 

The S23 Ultra has 6.8"" QHD+ Display and it weights 233g/234g (Sub6/mmWave) 
The S23+ has 6.6"" FHD+ Display, and it weights 195g/196g (Sub6/mmWave)
The S23 has 6.1"" FHD+ Display, and it weights 168g/168g (Sub6/mmWave)","*Screen measured diagonally, as a full rectangle, without accounting for the rounded corners. Actual viewable area may be smaller due to the rounded corners and cameras.","Revised : 
The new Galaxy S23 Series is available in 3 sizes. 

The S23 Ultra has 6.8"" QHD+ Display and it weights 233g/234g (Sub6/mmWave) 
The S23+ has 6.6"" FHD+ Display, and it weights 195g/196g (Sub6/mmWave)
The S23 has 6.1"" FHD+ Display, and it weights 168g/168g (Sub6/mmWave) 

Disclaimer : 
*Screen measured diagonally, as a full rectangle, without accounting for the rounded corners. Actual viewable area may be smaller due to the rounded corners and cameras."
